unitid,institution name,year,EF2010CP.Major field of study,EF2010CP.Grand total,EF2010CP.Total men,EF2010CP.Total women,EF2010CP.American Indian or Alaska Native total,EF2010CP.American Indian or Alaska Native men,EF2010CP.American Indian or Alaska Native women,EF2010CP.Asian total,EF2010CP.Asian men,EF2010CP.Asian women,EF2010CP.Black or African American total,EF2010CP.Black or African American men,EF2010CP.Black or African American women,EF2010CP.Hispanic total,EF2010CP.Hispanic men,EF2010CP.Hispanic women,EF2010CP.Native Hawaiian or Other Pacific Islander total,EF2010CP.Native Hawaiian or Other Pacific Islander men,EF2010CP.Native Hawaiian or Other Pacific Islander women,EF2010CP.White total,EF2010CP.White men,EF2010CP.White women,EF2010CP.Two or more races total,EF2010CP.Two or more races men,EF2010CP.Two or more races women,EF2010CP.Race/ethnicity unknown total,EF2010CP.Race/ethnicity unknown men,EF2010CP.Race/ethnicity unknown women,EF2010CP.Nonresident alien total,EF2010CP.Nonresident alien men,EF2010CP.Nonresident alien women,IDX_EF
166027,Harvard University,2010,"13.0000-Education, All students total",997,277,720,4,2,2,91,21,70,100,36,64,78,18,60,3,0,3,539,147,392,34,12,22,39,10,29,109,31,78,-2
166027,Harvard University,2010,"13.0000-Education, Graduate",997,277,720,4,2,2,91,21,70,100,36,64,78,18,60,3,0,3,539,147,392,34,12,22,39,10,29,109,31,78,-2
166027,Harvard University,2010,"14.0000-Engineering, All students total",165,124,41,0,0,0,22,16,6,1,0,1,5,3,2,0,0,0,44,32,12,0,0,0,13,8,5,80,65,15,-2
166027,Harvard University,2010,"14.0000-Engineering, Graduate",165,124,41,0,0,0,22,16,6,1,0,1,5,3,2,0,0,0,44,32,12,0,0,0,13,8,5,80,65,15,-2
166027,Harvard University,2010,"26.0000-Biological Sciences/Life Sciences, All students total",1072,525,547,1,1,0,140,56,84,23,13,10,46,23,23,1,0,1,479,240,239,23,10,13,102,50,52,257,132,125,-2
166027,Harvard University,2010,"26.0000-Biological Sciences/Life Sciences, Graduate",1072,525,547,1,1,0,140,56,84,23,13,10,46,23,23,1,0,1,479,240,239,23,10,13,102,50,52,257,132,125,-2
166027,Harvard University,2010,"27.0000-Mathematics, All students total",138,105,33,0,0,0,3,1,2,0,0,0,1,1,0,0,0,0,34,30,4,1,1,0,10,9,1,89,63,26,-2
166027,Harvard University,2010,"27.0000-Mathematics, Graduate",138,105,33,0,0,0,3,1,2,0,0,0,1,1,0,0,0,0,34,30,4,1,1,0,10,9,1,89,63,26,-2
166027,Harvard University,2010,"40.0000-Physical Sciences, All students total",615,424,191,1,1,0,48,24,24,4,2,2,8,8,0,0,0,0,259,171,88,5,4,1,48,34,14,242,180,62,-2
166027,Harvard University,2010,"40.0000-Physical Sciences, Graduate",615,424,191,1,1,0,48,24,24,4,2,2,8,8,0,0,0,0,259,171,88,5,4,1,48,34,14,242,180,62,-2
166027,Harvard University,2010,"52.0000-Business Management and Administrative Services, All students total",1985,1263,722,4,2,2,235,134,101,98,66,32,75,53,22,0,0,0,696,457,239,13,7,6,206,135,71,658,409,249,-2
166027,Harvard University,2010,"22.0101-Law (first professional), All students",1726,898,828,10,7,3,175,74,101,185,82,103,130,63,67,0,0,0,906,485,421,11,5,6,202,122,80,107,60,47,-2
166027,Harvard University,2010,"51.0401-Dentistry (first professional), All students",149,55,94,1,0,1,49,16,33,0,0,0,4,1,3,0,0,0,74,32,42,6,2,4,1,0,1,14,4,10,-2
166027,Harvard University,2010,"51.1201-Medicine (first professional), All students",724,378,346,2,1,1,198,107,91,70,36,34,64,33,31,0,0,0,284,147,137,26,15,11,40,17,23,40,22,18,-2
